"CLI_ID","COMPRAS","COMPRA_UNICA_VEZ","COMPRAS_PARCELADAS","FREQUENCIA_COMPRAS","FREQUENCIA_COMPRAS_UNICAS","FREQUENCIA_COMPRAS_PARCELADAS","TRANS_COMPRA","LIMITE_CREDITO"
10001,95.4,0,95.4,0.166667,0,0.083333,2,1000
10002,0,0,0,0,0,0,0,7000
10003,773.17,773.17,0,1,1,0,12,7500
10004,1499,1499,0,0.083333,0.083333,0,1,7500
10005,16,16,0,0.083333,0.083333,0,1,1200
10006,1333.28,0,1333.28,0.666667,0,0.583333,8,1800
10007,7091.01,6402.63,688.38,1,1,1,64,13500
10008,436.2,0,436.2,1,0,1,12,2300
10009,861.49,661.49,200,0.333333,0.083333,0.25,5,7000
10010,1281.6,1281.6,0,0.166667,0.166667,0,3,11000
10011,920.12,0,920.12,1,0,1,12,1200
10012,1492.18,1492.18,0,0.25,0.25,0,6,2000
10013,3217.99,2500.23,717.76,1,0.25,0.916667,26,3000
10014,2137.93,419.96,1717.97,0.75,0.166667,0.75,26,7500
10015,0,0,0,0,0,0,0,3000
10016,1611.7,0,1611.7,0.5,0,0.5,11,8000
10017,0,0,0,0,0,0,0,3000
10018,519,0,519,0.416667,0,0.333333,8,2500
10019,504.35,166,338.35,0.666667,0.083333,0.583333,9,13000
10020,398.64,0,398.64,1,0,1,12,4000
10021,176.68,0,176.68,0.666667,0,0.666667,8,2000
10022,6359.95,5910.04,449.91,1,0.916667,1,92,11250
10023,815.9,0,815.9,1,0,1,17,1800
10024,4248.35,3454.56,793.79,1,0.083333,0.916667,13,9000
10025,0,0,0,0,0,0,0,6000
10026,399.6,0,399.6,1,0,1,12,3000
10027,102,102,0,0.166667,0.166667,0,2,1700
10028,233.28,0,233.28,1,0,1,12,1000
10029,387.05,204.55,182.5,0.666667,0.166667,0.416667,8,10500
10030,100,0,100,0.416667,0,0.416667,5,6900
10031,3038.01,1013.2,2024.81,1,0.166667,1,64,13000
10032,1347.71,400,947.71,1,0.083333,1,45,6000
10033,324.95,324.95,0,0.083333,0.083333,0,3,10500
10034,636.79,636.79,0,0.916667,0.916667,0,11,1200
10035,547.28,0,547.28,1,0,1,14,11000
10036,0,0,0,0,0,0,0,1800
10037,0,0,0,0,0,0,0,9000
10038,2380.55,1642.17,738.38,0.75,0.5,0.75,41,5000
10039,204,204,0,0.083333,0.083333,0,2,9000
10040,963.24,963.24,0,0.083333,0.083333,0,6,7500
10041,0,0,0,0,0,0,0,1800
10043,1526.59,786.3,740.29,0.583333,0.416667,0.333333,27,3000
10044,203.82,203.82,0,0.083333,0.083333,0,1,4500
10045,0,0,0,0,0,0,0,1500
10046,1525.44,469.8,1055.64,1,0.333333,1,20,8500
10047,437,97,340,0.333333,0.083333,0.333333,5,2400
10048,109.74,0,109.74,0.375,0,0.25,3,1700
10049,0,0,0,0,0,0,0,4200
10050,2390.6,1402.93,987.67,1,0.666667,1,87,3300
10051,507.5,507.5,0,0.166667,0.166667,0,3,4000
10052,901.42,646.07,255.35,0.625,0.375,0.25,9,12000
10053,3107.85,2221.74,886.11,0.666667,0.583333,0.5,18,2500
10054,0,0,0,0,0,0,0,3500
10055,1979.22,1979.22,0,0.666667,0.666667,0,11,3000
10056,310,0,310,0.666667,0,0.666667,8,1000
10057,1283.9,1283.9,0,0.25,0.25,0,6,6000
10058,313.27,313.27,0,0.25,0.25,0,4,4000
10059,5217.62,4789.09,428.53,0.916667,0.916667,0.5,42,7500
10060,0,0,0,0,0,0,0,4000
10061,229,0,229,0.416667,0,0.333333,6,6000
10062,113,113,0,0.166667,0.166667,0,2,6500
10063,66.2,66.2,0,0.083333,0.083333,0,1,1600
10064,0,0,0,0,0,0,0,4150
10065,840,840,0,0.083333,0.083333,0,1,1600
10067,1887.64,0,1887.64,1,0,1,61,1850
10068,412.33,325.21,87.12,0.583333,0.333333,0.166667,11,1800
10069,0,0,0,0,0,0,0,1500
10070,0,0,0,0,0,0,0,2500
10071,263.5,190.6,72.9,0.666667,0.083333,0.583333,8,6000
10072,1363.69,1363.69,0,0.333333,0.333333,0,4,1700
10073,419.1,0,419.1,0.916667,0,0.833333,11,6250
10074,4523.27,1664.09,2859.18,0.666667,0.5,0.583333,33,7000
10075,0,0,0,0,0,0,0,7000
10077,713.9,503.08,210.82,0.5,0.1,0.4,8,2250
10078,791.94,516.64,275.3,0.272727,0.090909,0.181818,7,6000
10079,561.87,249.5,312.37,0.833333,0.166667,0.75,14,6000
10080,606.11,606.11,0,1,1,0,17,11000
10081,320,0,320,0.75,0,0.666667,8,1500
10082,0,0,0,0,0,0,0,1200
10083,388.66,388.66,0,0.583333,0.583333,0,7,7000
10084,244.85,40.21,204.64,0.666667,0.166667,0.583333,13,5000
10085,0,0,0,0,0,0,0,9500
10086,133.05,28.2,104.85,0.416667,0.166667,0.25,5,12000
10087,396,0,396,0.5,0,0.416667,12,1200
10088,4915.6,4515.34,400.26,1,1,0.333333,50,9000
10089,1247.8,1247.8,0,1,1,0,22,16500
10090,1603.78,1445.14,158.64,1,0.833333,1,23,11000
10092,2258.01,1318.78,939.23,1,0.75,1,60,13500
10093,45,45,0,0.083333,0.083333,0,1,4500
10094,0,0,0,0,0,0,0,6500
10095,5100.07,1147.83,3952.24,1,0.25,0.916667,46,9000
10096,1032.04,226.9,805.14,0.909091,0.090909,0.818182,17,4000
10097,45.65,45.65,0,0.083333,0.083333,0,1,1800
10098,405.6,405.6,0,0.166667,0.166667,0,2,2400
10099,213.34,213.34,0,0.25,0.25,0,3,2400
10100,0,0,0,0,0,0,0,1200
10101,739.44,739.44,0,0.666667,0.666667,0,11,6000
10102,0,0,0,0,0,0,0,4000
10103,79,0,79,0.25,0,0.166667,3,7000
10104,0,0,0,0,0,0,0,3000
10105,20,20,0,0.111111,0.111111,0,1,1500
10106,1346.28,0,1346.28,1,0,1,12,2000
10107,2823.8,1540.41,1283.39,0.916667,0.916667,0.833333,75,5700
10108,389.96,0,389.96,1,0,1,31,4500
10109,0,0,0,0,0,0,0,4000
10110,808,808,0,0.25,0.25,0,4,4000
10111,941.64,0,941.64,1,0,1,12,2500
10112,0,0,0,0,0,0,0,8000
10113,423.7,177.64,246.06,0.666667,0.166667,0.5,10,2000
10114,4478.75,2721.59,1757.16,1,0.916667,1,64,9000
10115,1354.86,585.63,769.23,0.916667,0.333333,0.833333,34,5500
10116,0,0,0,0,0,0,0,4200
10117,2812.2,857.12,1955.08,1,0.25,1,81,8500
10118,0,0,0,0,0,0,0,7000
10119,1508.9,1252.36,256.54,0.666667,0.416667,0.333333,14,5000
10120,1045.57,667.95,377.62,1,0.583333,1,25,3000
10121,2309.78,0,2309.78,0.583333,0,0.5,12,6500
10122,0,0,0,0,0,0,0,1800
10123,495,0,495,0.166667,0,0.166667,2,7000
10124,0,0,0,0,0,0,0,3000
10125,6724.26,4100.08,2624.18,1,0.916667,1,85,17000
10126,1174.39,1174.39,0,0.25,0.25,0,8,9000
10127,5580.85,0,5580.85,1,0,1,75,8500
10128,0,0,0,0,0,0,0,3200
10130,0,0,0,0,0,0,0,19000
10131,12462.44,12462.44,0,0.916667,0.916667,0,217,2800
10132,0,0,0,0,0,0,0,1200
10133,1957.3,1077.3,880,0.833333,0.166667,0.583333,19,5000
10134,150.64,150.64,0,0.083333,0.083333,0,1,17000
10135,0,0,0,0,0,0,0,13000
10136,907,907,0,0.25,0.25,0,8,5000
10137,1271.12,351.54,919.58,0.833333,0.25,0.833333,33,5000
10138,250.6,0,250.6,0.583333,0,0.5,7,3000
10139,796.33,796.33,0,0.083333,0.083333,0,1,13000
10140,440,0,440,0.916667,0,0.916667,22,4000
10141,1330.62,1169.63,160.99,0.5,0.166667,0.25,8,2000
10142,5491.79,1390.5,4101.29,1,0.5,1,52,17000
10143,897.86,714.52,183.34,0.916667,0.333333,0.916667,18,1200
10144,22009.92,9449.07,12560.85,1,0.75,1,216,18000
10145,720.6,720.6,0,1,1,0,12,2500
10146,197.06,148.66,48.4,0.333333,0.25,0.166667,5,1000
10147,0,0,0,0,0,0,0,7500
10148,0,0,0,0,0,0,0,7000
10149,2084.48,1300.48,784,0.666667,0.416667,0.583333,13,21500
10150,5779.36,3436.53,2342.83,1,1,1,97,6500
10151,1025,1025,0,0.083333,0.083333,0,2,7500
10152,689.7,0,689.7,0.833333,0,0.833333,10,10000
10153,28.65,28.65,0,0.083333,0.083333,0,1,9000
10154,944.96,164.96,780,0.5,0.25,0.416667,9,1500
10155,1039.2,80,959.2,0.833333,0.083333,0.833333,11,13500
10156,4059.93,0,4059.93,0.583333,0,0.5,14,7000
10157,4075.37,3322.28,753.09,1,1,1,31,6500
10158,870.24,0,870.24,1,0,1,24,8000
10159,9792.23,3959.81,5832.42,1,0.75,1,216,20000
10160,2463.12,789.53,1673.59,1,0.5,1,46,4000
10161,1859.34,0,1859.34,0.333333,0,0.25,4,20000
10162,3488.49,3262.25,226.24,1,1,0.5,46,7900
10163,0,0,0,0,0,0,0,1800
10164,7283.31,5087.31,2196,1,1,0.666667,77,11000
10165,295,295,0,0.083333,0.083333,0,2,1200
10166,0,0,0,0,0,0,0,3000
10167,0,0,0,0,0,0,0,8500
10168,648.22,115,533.22,1,0.083333,1,27,1200
10169,557.19,525.64,31.55,0.25,0.083333,0.166667,5,4000
10170,469.98,0,469.98,1,0,0.833333,6,1000
10171,0,0,0,0,0,0,0,6500
10172,131.64,0,131.64,1,0,1,12,8000
10173,5078.14,4330.53,747.61,0.916667,0.666667,0.75,42,15000
10174,924.6,0,924.6,1,0,1,12,1000
10175,1975.4,1393.5,581.9,0.666667,0.416667,0.333333,17,4000
10176,0,0,0,0,0,0,0,4000
10177,10221.35,7141.38,3079.97,1,1,0.833333,130,10500
10178,300,0,300,0.25,0,0.166667,3,12500
10179,0,0,0,0,0,0,0,3000
10180,5715,4685.54,1029.46,1,1,1,90,14000
10181,0,0,0,0,0,0,0,1800
10182,766.61,766.61,0,0.833333,0.833333,0,12,2300
10183,0,0,0,0,0,0,0,3000
10184,3535.8,1614.7,1921.1,1,0.416667,0.916667,44,20000
10185,256.11,0,256.11,0.416667,0,0.416667,5,5300
10186,2697.48,150.5,2546.98,1,0.333333,1,39,2500
10187,23,0,23,0.083333,0,0.083333,1,5000
10188,117,0,117,0.25,0,0.166667,3,4500
10189,196.81,173,23.81,0.083333,0.083333,0.083333,3,12000
10190,653.73,493,160.73,0.666667,0.416667,0.416667,15,10000
10191,2009.05,0,2009.05,0.833333,0,0.75,22,1200
10192,147.78,0,147.78,0.166667,0,0.166667,2,6000
10193,516.54,159.07,357.47,1,0.333333,0.916667,30,900
10194,969.56,969.56,0,0.416667,0.416667,0,6,2400
10196,311.45,311.45,0,0.333333,0.333333,0,15,1500
10197,280.4,280.4,0,0.25,0.25,0,3,6150
10198,66.14,66.14,0,0.083333,0.083333,0,2,6000
10199,79.2,79.2,0,0.083333,0.083333,0,1,4000
10200,1453.32,0,1453.32,0.5,0,0.5,18,16500
10201,756.54,756.54,0,0.5,0.5,0,15,4000
10202,3507.35,603.75,2903.6,0.916667,0.166667,0.833333,34,11500
10203,3163.69,56.8,3106.89,0.75,0.083333,0.666667,36,8000
10204,1343.19,1082.79,260.4,1,1,0.583333,33,15000
10205,873,873,0,0.166667,0.166667,0,5,8000
10206,47.55,0,47.55,0.166667,0,0.166667,2,6000
10207,370,370,0,0.166667,0.166667,0,2,23000
10208,405.75,313.75,92,0.5,0.166667,0.416667,12,2000
10209,261.64,0,261.64,0.833333,0,0.833333,10,4000
10211,1989.28,842.8,1146.48,0.333333,0.166667,0.166667,8,14000
10212,10848.5,8208,2640.5,1,0.666667,1,123,7500
10213,43.39,0,43.39,0.083333,0,0.083333,1,4000
10214,645.32,645.32,0,0.166667,0.166667,0,2,1800
10215,987.1,862.1,125,0.333333,0.333333,0.083333,9,10500
10216,1464.14,978.71,485.43,0.833333,0.583333,0.666667,23,11500
10217,927,600,327,0.25,0.083333,0.166667,4,5000
10218,393.62,153.72,239.9,0.916667,0.916667,0.166667,15,10000
10219,965.5,876.13,89.37,0.5,0.5,0.083333,9,7500
10220,0,0,0,0,0,0,0,7500
10221,336.41,336.41,0,0.75,0.75,0,9,6000
10222,540,0,540,0.25,0,0.166667,3,4000
10223,36,0,36,0.166667,0,0.083333,2,7500
10224,878.52,103.1,775.42,1,0.166667,0.916667,39,1500
10226,144.26,67.08,77.18,0.333333,0.083333,0.166667,7,11500
10227,493.85,441.35,52.5,0.5,0.333333,0.25,10,2000
10228,4490.69,3456.25,1034.44,1,0.916667,1,52,8500
10229,11188.62,6099.16,5089.46,1,0.75,1,151,10000
10230,1829.2,1792.7,36.5,1,1,0.083333,17,7000
10231,75.99,75.99,0,0.142857,0.142857,0,1,2700
10232,1824.16,1598.56,225.6,1,0.916667,0.75,23,14500
10233,9325.22,9325.22,0,0.333333,0.333333,0,5,8500
10234,100,100,0,0.083333,0.083333,0,1,4000
10235,1431.89,430.69,1001.2,1,0.416667,0.833333,39,4000
10236,2260.41,1356.33,904.08,0.833333,0.416667,0.75,25,8500
10237,0,0,0,0,0,0,0,1200
10238,10410.49,1158.84,9251.65,0.75,0.666667,0.583333,41,19500
10239,990.7,482,508.7,0.75,0.25,0.583333,13,1400
10240,3034.92,0,3034.92,1,0,1,12,2900
10241,1038.81,1038.81,0,0.916667,0.916667,0,21,5700
10242,45.65,45.65,0,0.083333,0.083333,0,1,2500
10243,2641.98,1386.3,1255.68,0.833333,0.666667,0.75,41,3000
10244,1189.52,1189.52,0,1,1,0,12,8000
10245,300,0,300,0.5,0,0.416667,6,12000
10246,126.69,42.88,83.81,0.333333,0.083333,0.25,5,10500
10247,247.09,0,247.09,0.5,0,0.416667,7,5500
10248,301.1,83,218.1,0.583333,0.166667,0.333333,10,1950
10249,1112.2,1112.2,0,0.25,0.25,0,4,7200
10250,2410.07,1670.5,739.57,0.5,0.083333,0.333333,15,4000
10251,5350.19,4783.34,566.85,1,1,0.916667,101,8000
10252,630.03,630.03,0,0.090909,0.090909,0,1,5500
10253,3197.24,2080.02,1117.22,1,0.666667,1,49,3000
10254,133,0,133,0.25,0,0.166667,3,3000
10255,1646.16,1023.42,622.74,1,0.583333,0.75,33,12000
10256,79.66,0,79.66,1,0,1,12,1500
10257,319.92,0,319.92,1,0,1,12,12000
10258,3677.52,3543.73,133.79,1,1,0.5,98,12500
10259,1041.63,1041.63,0,0.25,0.25,0,14,4000
10260,675.96,0,675.96,1,0,1,12,1000
10261,193.14,0,193.14,0.416667,0,0.416667,5,2000
10262,1703.23,1703.23,0,1,1,0,13,11500
10263,0,0,0,0,0,0,0,6000
10265,234.16,0,234.16,0.363636,0,0.272727,4,1500
10266,29.68,29.68,0,0.083333,0.083333,0,1,10000
10267,1322.67,1096.71,225.96,0.833333,0.75,0.416667,28,11000
10269,1607.88,0,1607.88,1,0,1,84,13500
10270,0,0,0,0,0,0,0,1800
10271,3183,3183,0,0.166667,0.166667,0,2,9000
10272,3014.23,1340.34,1673.89,1,0.833333,1,93,4500
10273,7323.38,4944.88,2378.5,1,0.833333,0.75,81,3000
10274,8533.54,4072.76,4460.78,1,0.5,0.833333,72,10000
10275,408.93,74.8,334.13,0.5,0.083333,0.5,10,9000
10276,3999.92,200,3799.92,1,0.083333,1,14,7500
10277,2980.46,657.78,2322.68,1,0.5,1,50,6000
10278,560.73,560.73,0,0.916667,0.916667,0,11,7500
10279,569.9,569.9,0,0.166667,0.166667,0,3,9500
10280,6186.77,6099.08,87.69,0.916667,0.75,0.25,38,10950
10281,4550.81,3016.98,1533.83,1,0.916667,1,99,8500
10282,150.8,150.8,0,0.166667,0.166667,0,2,7500
10283,1385.1,1005.1,380,1,0.5,0.75,21,14000
10284,32539.78,26547.43,5992.35,1,1,1,98,11500
10285,410.24,44.71,365.53,0.916667,0.083333,0.916667,21,16500
10286,47.95,47.95,0,0.083333,0.083333,0,1,1500
10287,126.57,126.57,0,0.25,0.25,0,4,2100
10288,380.89,380.89,0,0.083333,0.083333,0,1,5700
10289,414,0,414,0.75,0,0.666667,9,10500
10290,2010,630,1380,1,0.166667,1,14,8500
10291,4693.15,4332.65,360.5,0.5,0.416667,0.333333,12,13500
10292,498.96,0,498.96,1,0,1,12,1000
10293,224.2,148.12,76.08,0.583333,0.083333,0.416667,9,9500
10294,2856.57,922.84,1933.73,1,0.25,1,62,2500
10295,0,0,0,0,0,0,0,3000
10296,0,0,0,0,0,0,0,7000
10297,0,0,0,0,0,0,0,3000
10298,409.63,351.87,57.76,0.583333,0.583333,0.083333,12,5000
10299,843.34,843.34,0,0.5,0.5,0,17,6500
10300,0,0,0,0,0,0,0,6000
10301,2236.49,758.52,1477.97,1,1,0.666667,34,10000
10302,464.51,399.41,65.1,0.416667,0.25,0.166667,10,6000
10303,1779,1779,0,0.166667,0.166667,0,2,5000
10304,0,0,0,0,0,0,0,4000
10305,456.36,0,456.36,1,0,0.916667,14,6000
10306,5758.71,2252.37,3506.34,0.75,0.25,0.75,48,2900
10307,245.98,245.98,0,0.166667,0.166667,0,2,6000
10308,0,0,0,0,0,0,0,12000
10309,733.9,733.9,0,1,1,0,13,3000
