largura_veiculo,comprimento_veiculo,distancia_entre_ eixos,tamanho_motor,potencia,diametro_cilindro,rpm_cidade,rpm_estrada,seguranca,fabricante_alfa-romero,fabricante_audi,fabricante_bmw,fabricante_buick,fabricante_chevrolet,fabricante_dodge,fabricante_honda,fabricante_isuzu,fabricante_jaguar,fabricante_mazda,fabricante_mitsubishi,fabricante_plymouth,fabricante_porsche,fabricante_saab,fabricante_subaru,fabricante_volkswagen,numero_portas_four,numero_portas_two,carroceria_convertible,carroceria_hatchback,carroceria_wagon,tracao_4wd,tracao_fwd,tracao_rwd,tipo_motor_ohc,tipo_motor_ohcf,tipo_motor_rotor,numero_cilindros_five,numero_cilindros_four,numero_cilindros_six,numero_cilindros_two,preco
64,168,88,130,111,3,21,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,13495
64,168,88,130,111,3,21,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,16500
65,171,94,152,154,2,19,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,16500
66,176,99,109,102,3,24,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,13950
66,176,99,136,115,3,18,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,17450
66,177,99,136,110,3,19,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,15250
71,192,105,136,110,3,19,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,17710
71,192,105,136,110,3,19,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,18920
71,192,105,131,140,3,17,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,23875
67,178,99,131,160,3,16,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,17859
