"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"Negativa",6,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1169,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",67,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",48,"créditos existentes pagos devidamente até agora","rádio/televisão",5951,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","Educação",2096,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",3,"imóvel",49,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Negativa",42,"créditos existentes pagos devidamente até agora","móveis/equipamentos",7882,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","fiador",4,"contrato de poupança/seguro de vida da sociedade de construção",45,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",24,"atraso no pagamento no passado","carro (novo)",4870,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",53,"Nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","Educação",9055,"desconhecido/sem conta poupança","1 a 4 anos",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",35,"Nenhum","de graça",1,"não qualificado - residente",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2835,"500 a 1000","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",53,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",36,"créditos existentes pagos devidamente até agora","carro (usado)",6948,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",35,"Nenhum","aluguel",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",3059,"mais de 1000","4 a 7 anos",2,"homem (divorciado/separado)","Nenhum",4,"imóvel",61,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",30,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",5234,"menos de 100","Desempregado",4,"homem (casado/viúvo)","Nenhum",2,"carro ou outro",28,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","ruim"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",1295,"menos de 100","menos de 1 ano",3,"mulher (divorciada/separada/casada)","Nenhum",1,"carro ou outro",25,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",48,"créditos existentes pagos devidamente até agora","negócios",4308,"menos de 100","menos de 1 ano",3,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",24,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1567,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",1,"carro ou outro",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1199,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",60,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","ruim"
