id_chamada;data;agente;tipo_solicitacao;atendido;resolvido;duracao_conversa;indice_satisfacao;tempo_espera
ID0001;2015-01-01 09:12:58;Diane;Informacao;S;S;00:05:35.807;BOM;
ID0002;2015-01-01 09:12:58;Becky;Cotacao;S;N;00:05:41.152;BOM;
ID0003;2015-01-01 09:47:31;Stewart;Informacao;S;S;00:05:23.601;BOM;
ID0004;2015-01-01 09:47:31;Greg;Informacao;S;S;;RUIM;
ID0005;2015-01-01 10:00:29;Becky;Sugestao;S;S;00:03:58.409;BOM;
ID0006;2015-01-01 10:00:29;Stewart;Cotacao;N;N;00:00:37.481;;
ID0007;2015-01-01 10:22:05;Diane;Sugestao;S;S;00:02:17.746;RUIM;1210
ID0008;2015-01-01 10:22:05;Diane;Sugestao;S;S;00:03:09.599;BOM;9,6
ID0009;2015-01-01 11:13:55;Greg;Reclamacao;S;S;00:04:13.264;BOM;
ID0010;2015-01-01 11:13:55;Jim;RegistroSinistro;S;S;00:05:48.219;RUIM;130
ID0011;2015-01-01 11:15:22;Joe;Sugestao;N;N;00:01:00.083;;
ID0012;2015-01-01 11:15:22;Greg;Sugestao;S;S;00:06:35.708;BOM;20,4
ID0013;2015-01-01 11:52:48;Joe;Sugestao;S;S;;BOM;
ID0014;2015-01-01 11:52:48;Martha;Informacao;S;S;;BOM;
ID0015;2015-01-01 11:55:41;Becky;Reclamacao;S;S;00:05:44.003;BOM;
ID0016;2015-01-01 11:55:41;Becky;Reclamacao;S;S;00:06:06.015;RUIM;260
ID0017;2015-01-01 11:57:07;Greg;Cotacao;S;S;00:00:42.340;BOM;62,5
ID0018;2015-01-01 11:57:07;Becky;Reclamacao;N;N;00:02:23.210;;
ID0019;2015-01-01 12:01:26;Jim;RegistroSinistro;N;N;;;
ID0020;2015-01-01 12:01:26;Jim;Informacao;S;S;00:05:57.537;BOM;
ID0021;2015-01-01 12:02:53;Jim;Cotacao;S;S;;BOM;
ID0022;2015-01-01 12:02:53;Dan;Reclamacao;S;S;;BOM;
ID0023;2015-01-01 12:02:53;Martha;Cotacao;N;N;00:03:40.342;;
ID0024;2015-01-01 12:02:53;Joe;Cotacao;S;N;00:01:29.822;BOM;14,5
ID0025;2015-01-01 12:30:14;Diane;RegistroSinistro;S;S;00:02:03.210;RUIM;570
ID0026;2015-01-01 12:30:14;Dan;Sugestao;N;N;00:00:38.344;;
ID0027;2015-01-01 12:40:19;Joe;RegistroSinistro;S;S;00:03:57.370;RUIM;1200
ID0028;2015-01-01 12:40:19;Martha;Informacao;S;S;00:06:50.187;BOM;23,4
ID0029;2015-01-01 12:40:19;Joe;Cotacao;S;N;00:01:48.032;RUIM;650
ID0030;2015-01-01 12:40:19;Stewart;RegistroSinistro;S;S;00:02:40.413;RUIM;510
ID0031;2015-01-01 13:24:58;Joe;Reclamacao;S;S;00:04:43.779;BOM;62,4
