id_chamada;data;agente;tipo_solicitacao;atendido;resolvido;duracao_conversa;tempo_espera;indice_satisfacao
ID0001;01/01/2015 09:12;Diane;Informacao;S;S;335;;BOM
ID0002;01/01/2015 09:12;Becky;Cotacao;S;N;341;;BOM
ID0003;01/01/2015 09:47;Stewart;Informacao;S;S;323;;BOM
ID0004;01/01/2015 09:47;Greg;Informacao;S;S;;;RUIM
ID0005;01/01/2015 10:00;Becky;Sugestao;S;S;238;;BOM
ID0006;01/01/2015 10:00;Stewart;Cotacao;N;N;37;;
ID0007;01/01/2015 10:22;Diane;Sugestao;S;S;137;1210.00;RUIM
ID0008;01/01/2015 10:22;Diane;Sugestao;S;S;189;9.60;BOM
ID0009;01/01/2015 11:13;Greg;Reclamacao;S;S;253;;BOM
ID0010;01/01/2015 11:13;Jim;RegistroSinistro;S;S;348;130.00;RUIM
ID0011;01/01/2015 11:15;Joe;Sugestao;N;N;60;;
ID0012;01/01/2015 11:15;Greg;Sugestao;S;S;395;20.40;BOM
ID0013;01/01/2015 11:52;Joe;Sugestao;S;S;;;BOM
ID0014;01/01/2015 11:52;Martha;Informacao;S;S;;;BOM
ID0015;01/01/2015 11:55;Becky;Reclamacao;S;S;344;;BOM
ID0016;01/01/2015 11:55;Becky;Reclamacao;S;S;366;260.00;RUIM
ID0017;01/01/2015 11:57;Greg;Cotacao;S;S;42;62.50;BOM
ID0018;01/01/2015 11:57;Becky;Reclamacao;N;N;143;;
ID0019;01/01/2015 12:01;Jim;RegistroSinistro;N;N;;;
ID0020;01/01/2015 12:01;Jim;Informacao;S;S;357;;BOM
ID0021;01/01/2015 12:02;Jim;Cotacao;S;S;;;BOM
ID0022;01/01/2015 12:02;Dan;Reclamacao;S;S;;;BOM
ID0023;01/01/2015 12:02;Martha;Cotacao;N;N;220;;
ID0024;01/01/2015 12:02;Joe;Cotacao;S;N;89;14.50;BOM
ID0025;01/01/2015 12:30;Diane;RegistroSinistro;S;S;123;570.00;RUIM
ID0026;01/01/2015 12:30;Dan;Sugestao;N;N;38;;
ID0027;01/01/2015 12:40;Joe;RegistroSinistro;S;S;237;1200.00;RUIM
ID0028;01/01/2015 12:40;Martha;Informacao;S;S;410;23.40;BOM
ID0029;01/01/2015 12:40;Joe;Cotacao;S;N;108;650.00;RUIM
ID0030;01/01/2015 12:40;Stewart;RegistroSinistro;S;S;160;510.00;RUIM
ID0031;01/01/2015 13:24;Joe;Reclamacao;S;S;283;62.40;BOM
