,codigo_ibge,anomes_s,tx_acomp_freq_escol_f,tx_acomp_agenda_saude_f,tx_atual_cad_f,igdm_f,igd_pbf_fator_redutor_conforme_saldo_f
0,110001,202507,0.9007,0.7485,0.8296,0.8271,0.4
1,110002,202507,0.9135,0.7375,0.8848,0.8552,0.8
2,110003,202507,0.9704,0.9329,0.8227,0.8872,0.1
3,110004,202507,0.9296,0.777,0.8283,0.8408,0.6
4,110005,202507,0.9163,0.8901,0.8506,0.8769,1.0
5,110006,202507,0.9436,0.9702,0.8766,0.9168,1.0
6,110007,202507,0.8856,0.8024,0.8646,0.8543,1.0
7,110008,202507,0.9411,0.7337,0.8873,0.8624,1.0
8,110009,202507,0.894,0.7217,0.7962,0.802,0.4
9,110010,202507,0.9486,0.7623,0.8923,0.8739,0.8
10,110011,202507,0.9618,0.8594,0.8414,0.876,0.8
11,110012,202507,0.8844,0.9106,0.8475,0.8725,0.6
12,110013,202507,0.9542,0.7148,0.8481,0.8413,1.0
13,110014,202507,0.9669,0.8916,0.9246,0.9269,0.4
14,110015,202507,0.9296,0.8461,0.8847,0.8863,0.8
15,110018,202507,0.9231,0.8587,0.8498,0.8704,0.6
16,110020,202507,0.8509,0.6328,0.849,0.7954,0.4
17,110025,202507,0.9294,0.8031,0.869,0.8676,1.0
18,110026,202507,0.9573,0.8774,0.8489,0.8831,0.1
19,110028,202507,0.9843,0.8659,0.808,0.8666,0.8
20,110029,202507,0.9128,0.9184,0.8488,0.8822,1.0
21,110030,202507,0.9219,0.9178,0.8081,0.864,0.8
22,110032,202507,0.9144,0.7663,0.7707,0.8055,0.4
23,110033,202507,0.9918,0.8107,0.8041,0.8527,0.6
24,110034,202507,0.9579,0.7623,0.8582,0.8592,1.0
25,110037,202507,0.9832,0.9458,0.7435,0.854,1.0
26,110040,202507,0.806,0.7923,0.857,0.8281,1.0
27,110045,202507,0.9161,0.8212,0.8144,0.8415,1.0
28,110050,202507,0.9894,0.9043,0.8246,0.8857,1.0
29,110060,202507,0.9277,0.919,0.8212,0.8723,1.0
30,110070,202507,0.9388,0.8999,0.7943,0.8568,1.0
31,110080,202507,0.9823,0.749,0.8932,0.0,0.6
32,110090,202507,0.9379,0.912,0.8293,0.8771,1.0
33,110092,202507,0.8229,0.749,0.8791,0.8325,1.0
34,110094,202507,0.8698,0.7811,0.8263,0.8259,0.4
35,110100,202507,0.9165,0.7763,0.8761,0.8613,1.0
36,110110,202507,0.9513,0.647,0.8907,0.8449,1.0
37,110120,202507,0.9355,0.8978,0.8651,0.8909,1.0
38,110130,202507,0.9411,0.9246,0.8533,0.8931,1.0
39,110140,202507,0.9964,0.8671,0.8437,0.8877,1.0
40,110143,202507,0.8472,0.8583,0.8319,0.8423,0.1
41,110145,202507,0.9829,0.9072,0.8636,0.9043,0.1
42,110146,202507,0.883,0.9153,0.9015,0.9003,1.0
43,110147,202507,0.8866,0.8611,0.9229,0.8984,1.0
44,110148,202507,0.9738,0.9262,0.8656,0.9078,1.0
45,110149,202507,0.9718,0.7886,0.8349,0.8576,1.0
46,110150,202507,0.9816,0.9219,0.86,0.9059,1.0
47,110155,202507,0.9448,0.8947,0.8254,0.8726,0.1
48,110160,202507,0.8976,0.9617,0.7971,0.8634,1.0
49,110170,202507,0.9732,0.8732,0.8488,0.886,1.0
50,110175,202507,0.9783,0.8662,0.8506,0.8864,1.0
51,110180,202507,0.912,0.8431,0.6897,0.7836,1.0
52,120001,202507,0.7098,0.9246,0.8747,0.846,1.0
53,120005,202507,0.8719,0.848,0.8789,0.8694,1.0
54,120010,202507,0.655,0.8545,0.8614,0.8081,1.0
55,120013,202507,0.7324,0.8633,0.9054,0.8516,1.0
56,120017,202507,0.6313,0.8466,0.8857,0.8123,1.0
57,120020,202507,0.8627,0.85,0.89,0.8732,1.0
58,120025,202507,0.7628,0.8311,0.8493,0.8231,1.0
59,120030,202507,0.7003,0.7022,0.8582,0.7797,1.0
60,120032,202507,0.7289,0.7633,0.8871,0.8166,1.0
61,120033,202507,0.8507,0.7569,0.9097,0.8568,1.0
62,120034,202507,0.936,0.8565,0.9475,0.9219,0.8
63,120035,202507,0.7423,0.8906,0.8751,0.0,1.0
64,120038,202507,0.7193,0.9039,0.8704,0.841,0.8
65,120039,202507,0.8467,0.8688,0.9298,0.8938,1.0
66,120040,202507,0.7192,0.7251,0.8519,0.787,1.0
67,120042,202507,0.5545,0.7572,0.9298,0.7928,1.0
68,120043,202507,0.7867,0.8487,0.8926,0.8552,1.0
69,120045,202507,0.7457,0.6528,0.8639,0.7816,1.0
70,120050,202507,0.9941,0.7811,0.9169,0.9023,1.0
71,120060,202507,0.535,0.7737,0.9073,0.7808,0.8
72,120070,202507,0.9249,0.8661,0.9058,0.9007,1.0
73,120080,202507,0.4845,0.8414,0.8997,0.7813,0.8
74,130002,202507,0.8972,0.8901,0.911,0.9023,1.0
75,130006,202507,0.7751,1.0,0.9657,0.9266,1.0
76,130008,202507,0.686,0.7152,0.9349,0.8178,1.0
77,130010,202507,0.8454,0.8873,0.9438,0.9051,1.0
78,130014,202507,0.7948,0.9696,0.8347,0.8585,0.6
79,130020,202507,0.5909,0.8171,0.8863,0.7952,1.0
80,130030,202507,0.5677,0.8051,0.8368,0.7616,0.8
81,130040,202507,0.778,0.7354,0.863,0.8099,0.6
82,130050,202507,0.863,0.9257,0.8787,0.8865,1.0
83,130060,202507,0.7309,0.8796,0.91,0.8576,1.0
84,130063,202507,0.8245,0.8705,0.9253,0.8864,1.0
85,130068,202507,0.9327,0.9333,0.9398,0.9364,1.0
86,130070,202507,0.6419,0.7822,0.9168,0.8144,1.0
87,130080,202507,0.7246,0.8309,0.8432,0.8105,1.0
88,130083,202507,0.7123,0.8647,0.9152,0.8519,1.0
89,130090,202507,0.6649,0.9981,0.9599,0.8957,1.0
90,130100,202507,0.9549,0.9696,0.9286,0.9454,1.0
91,130110,202507,0.9055,0.8843,0.8317,0.8633,1.0
92,130115,202507,0.7559,0.8914,0.8846,0.8541,1.0
93,130120,202507,0.8892,0.8797,0.8368,0.8606,1.0
94,130130,202507,0.9448,0.8177,0.8483,0.8648,0.8
95,130140,202507,0.6411,0.8916,0.9346,0.8505,0.8
96,130150,202507,0.9496,0.9062,0.9591,0.9435,0.8
97,130160,202507,0.7229,0.6956,0.9161,0.8127,1.0
98,130165,202507,0.6993,0.836,0.9048,0.8362,1.0
99,130170,202507,0.8839,0.8942,0.9234,0.9062,1.0
100,130180,202507,0.9212,0.882,0.9244,0.913,1.0
101,130185,202507,0.7054,0.8427,0.8809,0.8275,0.8
102,130190,202507,0.6795,0.9214,0.842,0.8212,1.0
103,130195,202507,0.843,0.8126,0.9511,0.8895,1.0
104,130200,202507,0.9006,0.9083,0.8121,0.8583,1.0
105,130210,202507,0.8564,0.8996,0.8605,0.8693,1.0
106,130220,202507,0.7686,0.825,0.9377,0.8673,1.0
107,130230,202507,0.8875,0.8585,0.9521,0.9126,0.8
108,130240,202507,0.7031,0.7957,0.9027,0.0,1.0
109,130250,202507,0.8698,0.7677,0.8468,0.8328,1.0
110,130255,202507,0.9656,0.9633,0.9014,0.9329,1.0
111,130260,202507,0.6678,0.6855,0.8417,0.7592,1.0
112,130270,202507,0.8558,0.8758,0.8851,0.8755,0.4
113,130280,202507,0.6958,0.9766,0.905,0.8706,1.0
114,130290,202507,0.7322,0.8045,0.9019,0.8351,1.0
115,130300,202507,0.9394,0.971,0.9529,0.9541,1.0
116,130310,202507,0.6508,0.8931,0.9226,0.8473,1.0
117,130320,202507,0.7462,0.7659,0.8636,0.8098,1.0
118,130330,202507,0.8165,0.9754,0.9324,0.9142,1.0
119,130340,202507,0.7693,0.7376,0.8763,0.8149,1.0
120,130350,202507,0.8865,0.8147,0.923,0.8868,0.8
121,130353,202507,0.6618,0.8969,0.929,0.8542,1.0
122,130356,202507,0.8426,0.827,0.7606,0.7977,1.0
123,130360,202507,0.9201,0.8566,0.946,0.9172,1.0
124,130370,202507,0.6233,0.9248,0.9415,0.8578,1.0
125,130380,202507,0.5608,0.7983,0.8986,0.7891,1.0
126,130390,202507,0.8619,0.8584,0.9162,0.8882,1.0
127,130395,202507,0.8208,0.9602,0.9441,0.9173,1.0
128,130400,202507,0.8394,0.9495,0.9166,0.9055,0.4
129,130406,202507,0.9632,0.9542,0.9185,0.9386,1.0
130,130410,202507,0.8692,0.8896,0.9064,0.8929,1.0
131,130420,202507,0.7277,0.9726,0.8556,0.8529,0.8
132,130423,202507,0.8801,0.9956,0.8953,0.9166,1.0
133,130426,202507,0.83,1.0,0.9577,0.9364,1.0
134,130430,202507,0.7953,0.9999,0.8829,0.8903,0.8
135,130440,202507,0.8753,0.993,0.8791,0.9066,1.0
136,140002,202507,0.7679,0.7999,0.8097,0.7968,1.0
137,140005,202507,0.8608,0.61,0.8467,0.7911,0.6
138,140010,202507,0.6911,0.5936,0.8174,0.7299,0.6
139,140015,202507,0.7171,0.7999,0.6868,0.7227,1.0
140,140017,202507,0.6976,0.8244,0.9091,0.8351,0.6
141,140020,202507,0.6957,0.8701,0.7443,0.7636,1.0
142,140023,202507,0.8778,0.8603,0.9058,0.8874,1.0
143,140028,202507,0.8878,0.833,0.8328,0.8466,1.0
144,140030,202507,0.7727,0.6914,0.9373,0.8347,1.0
145,140040,202507,0.8337,0.4592,0.8893,0.7679,1.0
146,140045,202507,0.7809,0.9795,0.8717,0.876,0.8
147,140047,202507,0.7955,0.7938,0.757,0.7758,0.8
148,140050,202507,0.7237,0.8718,0.8973,0.8475,1.0
149,140060,202507,0.6754,0.7461,0.892,0.8014,1.0
150,140070,202507,0.8772,0.8124,0.8567,0.8508,1.0
151,150010,202507,0.7008,0.8965,0.8999,0.8493,1.0
152,150013,202507,0.8093,0.8382,0.8608,0.8423,1.0
153,150020,202507,0.8879,0.8161,0.8533,0.8527,1.0
154,150030,202507,0.7168,0.9286,0.8579,0.8403,1.0
155,150034,202507,0.5577,0.7072,0.8334,0.7329,1.0
156,150040,202507,0.8111,0.8421,0.8724,0.8495,1.0
157,150050,202507,0.8542,0.8838,0.8776,0.8733,1.0
158,150060,202507,0.5946,0.6617,0.835,0.7316,1.0
159,150070,202507,0.8539,0.8814,0.8353,0.8515,1.0
160,150080,202507,0.743,0.9574,0.8244,0.8373,1.0
161,150085,202507,0.7866,0.7489,0.8233,0.7955,0.8
162,150090,202507,0.8645,0.9096,0.8751,0.8811,1.0
163,150095,202507,0.9187,0.9128,0.9062,0.911,0.8
164,150100,202507,0.9698,0.864,0.9508,0.9339,1.0
165,150110,202507,0.6155,0.7485,0.8743,0.7782,0.1
166,150120,202507,0.7781,0.8474,0.8787,0.8457,1.0
167,150125,202507,0.9073,0.8329,0.9018,0.886,1.0
168,150130,202507,0.918,0.8701,0.8279,0.861,0.8
169,150140,202507,0.7331,0.5672,0.8563,0.7532,1.0
170,150145,202507,0.8426,0.918,0.8945,0.8874,1.0
171,150150,202507,0.8417,0.8293,0.8507,0.8431,0.8
172,150157,202507,0.8983,0.837,0.8717,0.8697,1.0
173,150160,202507,0.8221,0.9021,0.9239,0.0,1.0
174,150170,202507,0.8683,0.9169,0.9079,0.9003,1.0
175,150172,202507,0.8823,0.8092,0.8337,0.8397,1.0
176,150175,202507,0.8314,0.8432,0.8781,0.8577,1.0
177,150178,202507,0.875,0.833,0.9082,0.8811,1.0
178,150180,202507,0.5774,0.8487,0.8429,0.778,1.0
179,150190,202507,0.9138,0.826,0.8619,0.8659,1.0
180,150195,202507,0.8579,0.8401,0.9024,0.8757,1.0
181,150200,202507,0.6291,0.8459,0.9024,0.82,1.0
182,150210,202507,0.9593,0.9437,0.8725,0.912,1.0
183,150215,202507,0.7891,0.6861,0.8795,0.8086,0.6
184,150220,202507,0.9155,0.9712,0.9273,0.9353,1.0
185,150230,202507,0.7993,0.9446,0.92,0.896,1.0
186,150240,202507,0.8949,0.874,0.833,0.8587,1.0
187,150250,202507,0.8983,0.7255,0.9167,0.8643,1.0
188,150260,202507,0.7963,0.9104,0.9531,0.9032,1.0
189,150270,202507,0.9791,0.9587,0.8635,0.9162,1.0
190,150275,202507,0.9724,0.7124,0.9034,0.8729,1.0
191,150276,202507,0.8752,0.7984,0.8796,0.8582,1.0
192,150277,202507,0.781,0.92,0.88,0.8653,1.0
193,150280,202507,0.7422,0.7726,0.8624,0.8099,1.0
194,150285,202507,0.8798,0.8853,0.9082,0.8954,1.0
195,150290,202507,0.7383,0.7161,0.8664,0.7968,1.0
196,150293,202507,0.951,0.8238,0.8568,0.8721,1.0
197,150295,202507,0.8452,0.7982,0.8926,0.8572,1.0
198,150300,202507,0.9104,0.899,0.9196,0.9122,1.0
199,150304,202507,0.8379,0.9007,0.8405,0.8549,1.0
200,150307,202507,0.8749,0.8708,0.8991,0.886,1.0
201,150309,202507,0.8496,0.8355,0.8625,0.8525,1.0
202,150310,202507,0.9662,0.8071,0.8838,0.8852,1.0
203,150320,202507,0.785,0.9238,0.8491,0.8518,1.0
204,150330,202507,0.8663,0.7879,0.8341,0.8306,1.0
205,150340,202507,0.8882,0.9547,0.8698,0.8956,1.0
206,150345,202507,0.7042,0.9951,0.887,0.8683,1.0
207,150350,202507,0.7884,0.9216,0.8837,0.8694,1.0
208,150360,202507,0.7472,0.7768,0.8354,0.7987,1.0
209,150370,202507,0.794,0.8469,0.8916,0.856,1.0
210,150375,202507,0.9089,0.748,0.8743,0.8514,1.0
211,150380,202507,0.8799,0.8877,0.9108,0.8973,1.0
212,150390,202507,0.471,0.898,0.8231,0.7538,1.0
213,150400,202507,0.9361,0.8841,0.8966,0.9034,1.0
214,150405,202507,0.8646,0.8906,0.9272,0.9024,1.0
215,150410,202507,0.9825,0.8682,0.9149,0.9201,1.0
216,150420,202507,0.9148,0.7323,0.8044,0.814,0.8
217,150430,202507,0.8245,0.8824,0.9054,0.8794,1.0
218,150440,202507,0.884,0.7831,0.9017,0.8676,1.0
219,150442,202507,0.9063,0.7938,0.8756,0.8628,1.0
220,150445,202507,0.7814,0.612,0.8301,0.7634,0.8
221,150450,202507,0.8823,0.689,0.8539,0.8198,1.0
222,150460,202507,0.8122,0.8079,0.9376,0.8738,1.0
223,150470,202507,0.9218,0.7393,0.8704,0.8505,1.0
224,150475,202507,0.8332,0.8944,0.8733,0.8686,1.0
225,150480,202507,0.9463,0.8989,0.9,0.9113,1.0
226,150490,202507,0.9612,0.8553,0.8862,0.8972,1.0
227,150495,202507,0.8413,0.8421,0.935,0.8884,1.0
228,150497,202507,0.8788,0.8776,0.8713,0.8748,1.0
229,150500,202507,0.9658,0.9386,0.9021,0.9272,0.8
230,150503,202507,0.8937,0.8885,0.8277,0.8594,0.8
231,150506,202507,0.8954,0.8376,0.8842,0.8754,1.0
232,150510,202507,0.8829,0.8834,0.8654,0.8743,1.0
233,150520,202507,0.8879,0.6486,0.9385,0.8534,1.0
234,150530,202507,0.8056,0.8373,0.9134,0.8674,0.8
235,150540,202507,0.7205,0.8696,0.8923,0.8437,1.0
236,150543,202507,0.9549,0.7943,0.8179,0.8463,0.8
237,150548,202507,0.8509,0.8436,0.8906,0.8689,0.8
238,150549,202507,0.7918,0.8716,0.8972,0.8645,1.0
239,150550,202507,0.8626,0.8413,0.8436,0.8478,0.8
240,150553,202507,0.6359,0.7256,0.8024,0.7416,0.8
241,150555,202507,0.8264,0.81,0.9448,0.8815,1.0
242,150560,202507,0.9725,0.9695,0.9187,0.9449,1.0
243,150563,202507,0.8382,0.8837,0.8907,0.8758,1.0
244,150565,202507,0.8618,0.8537,0.906,0.8819,1.0
245,150570,202507,0.9383,0.8669,0.8885,0.8956,0.8
246,150580,202507,0.7474,0.8028,0.8583,0.8167,1.0
247,150590,202507,0.9016,0.8391,0.9329,0.9016,1.0
248,150600,202507,0.8669,0.8378,0.897,0.8747,0.8
249,150610,202507,0.9104,0.9286,0.9191,0.9193,1.0
250,150611,202507,0.9387,0.8901,0.9065,0.9105,1.0
251,150613,202507,0.8973,0.9097,0.8303,0.8669,1.0
252,150616,202507,0.9023,0.9234,0.8909,0.9019,0.8
253,150618,202507,0.92,0.7969,0.8569,0.8577,1.0
254,150619,202507,0.8385,0.7874,0.8589,0.8359,1.0
255,150620,202507,0.9736,0.9166,0.8505,0.8978,1.0
256,150630,202507,0.8511,0.8298,0.8938,0.8671,1.0
257,150635,202507,0.8974,0.799,0.8649,0.8566,0.6
258,150640,202507,0.7597,0.6897,0.8891,0.8069,1.0
259,150650,202507,0.9845,0.9437,0.8456,0.9049,0.8
260,150655,202507,0.8065,0.9058,0.9066,0.8814,1.0
261,150658,202507,0.8019,0.8542,0.8643,0.8462,1.0
262,150660,202507,0.9899,0.9396,0.9032,0.934,1.0
263,150670,202507,0.7608,0.7308,0.8309,0.7884,1.0
